Action,Price,Bankroll,Type,Predicted_Next_Price
Buy,1.2011048547923535,99999.15112677163,Entry,1.2163095406474491
Sell,1.2354689158945105,100000.38659568752,Exit,1.2163095406474491
Buy,1.2698329769966674,99999.11676271053,Entry,1.2388936738252012
Sell,1.2698329769966674,100000.38659568752,Exit,1.2388936738252012
Buy,1.4072892214052952,99998.97930646612,Entry,1.3671717247420616
Sell,1.4158802366808345,100000.39518670281,Exit,1.3671717247420616
Buy,1.4931993741606877,99998.90198732865,Entry,1.3997571552002055
Sell,1.4588353130585308,100000.3608226417,Exit,1.373378126837664
Buy,1.5791095269160802,99998.78171311477,Entry,1.4421226372244078
Sell,1.5962915574671586,100000.37800467224,Exit,1.4421226372244078
Buy,1.8196579546311789,99998.5583467176,Entry,1.5981058922001805
Sell,1.8196579546311789,100000.37800467224,Exit,1.5981058922001805
Buy,1.9227501379376497,99998.4552545343,Entry,1.652539560454788
Sell,1.939932168488728,100000.3951867028,Exit,1.6735086635833456
Buy,1.974296229590885,99998.42089047321,Entry,1.6825119981200976
Sell,1.9571141990398067,100000.37800467225,Exit,1.678000530429491
Buy,1.4244712519563738,99998.9535334203,Entry,1.3360529654505995
Sell,1.3901071908542169,100000.34364061114,Exit,1.2579139896583955
Buy,1.4244712519563738,99998.91916935919,Entry,1.3360529654505995
Sell,1.433062267231913,100000.35223162641,Exit,1.3360529654505995
Buy,1.0636486103837257,99999.28858301602,Entry,1.0972162549819167
Sell,1.1151947020369612,100000.40377771806,Exit,1.0972162549819167
Buy,1.2011048547923535,99999.20267286328,Entry,1.1778668539579757
Sell,1.2354689158945105,100000.43814177917,Exit,1.2030827434066191
Buy,1.0808306409348043,99999.35731113824,Entry,1.0972162549819167
Sell,1.0464665798326473,100000.40377771808,Exit,1.051319310061899
Buy,1.0980126714858827,99999.30576504659,Entry,1.0972162549819167
Sell,1.0464665798326473,100000.35223162643,Exit,1.051319310061899
Buy,1.0121025187304904,99999.3401291077,Entry,1.051319310061899
Sell,0.891828304872941,100000.23195741257,Exit,1.035438936941309
Buy,0.8402822132197055,99999.39167519935,Entry,1.0294751181544533
Sell,1.1151947020369612,100000.5068699014,Exit,1.0972162549819167
Buy,1.0808306409348043,99999.42603926046,Entry,1.0972162549819167
Sell,1.1151947020369612,100000.5412339625,Exit,1.0972162549819167
Buy,1.0636486103837257,99999.47758535211,Entry,1.0972162549819167
Sell,1.0292845492815688,100000.5068699014,Exit,1.051319310061899
Buy,1.0636486103837257,99999.443221291,Entry,1.0972162549819167
Sell,1.0292845492815688,100000.47250584028,Exit,1.051319310061899
Buy,1.037875564557108,99999.43463027573,Entry,1.051319310061899
Sell,1.0464665798326473,100000.48109685557,Exit,1.051319310061899
Buy,1.0121025187304904,99999.46899433684,Entry,1.051319310061899
Sell,0.7028259688110777,100000.17182030565,Exit,0.976891683086025
Buy,0.7887361215664701,99999.38308418408,Entry,1.0263312273677583
Sell,0.49664160219813597,99999.87972578628,Exit,0.7837228880231959
Buy,0.48805058692259673,99999.39167519935,Entry,0.7837228880231959
Sell,0.22172911338088028,99999.61340431274,Exit,0.4191559808705002
Buy,0.17018302172764485,99999.44322129102,Entry,0.4191559808705002
Sell,0.11863693007440941,99999.56185822109,Exit,0.3673419120518253
Buy,0.1358189606254879,99999.42603926046,Entry,0.4094800470000464
